run,group,negotiated_group,condition,tcp_connect_ms,tls_handshake_ms,total_ms,status
1,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.167,55.017,105.223,ok
2,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.539,51.460,102.033,ok
3,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.132,51.514,101.679,ok
4,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.254,52.415,102.719,ok
5,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.170,51.660,101.864,ok
6,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.143,51.541,101.722,ok
7,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.219,52.124,102.389,ok
8,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.139,59.937,110.108,ok
9,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.597,52.137,102.767,ok
10,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.202,51.603,101.838,ok
11,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.205,51.488,101.730,ok
12,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.114,51.578,101.723,ok
13,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.158,51.679,101.879,ok
14,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.227,51.578,101.840,ok
15,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.478,51.420,101.940,ok
16,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.148,51.501,101.706,ok
17,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.182,301.604,351.831,ok
18,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,1066.428,51.459,1117.919,ok
19,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.253,52.361,102.664,ok
20,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.176,51.849,102.061,ok
21,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.139,51.385,101.557,ok
22,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.134,52.275,102.441,ok
23,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.100,51.695,101.825,ok
24,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.163,51.533,101.743,ok
25,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.130,51.735,101.899,ok
26,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.106,51.726,101.864,ok
27,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.393,51.468,101.894,ok
28,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.334,51.776,102.151,ok
29,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.165,51.674,101.887,ok
30,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.971,51.603,102.609,ok
31,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.129,51.539,101.697,ok
32,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.107,52.412,102.551,ok
33,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.168,51.512,101.715,ok
34,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.195,51.750,101.983,ok
35,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.130,51.402,101.564,ok
36,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.155,51.552,101.747,ok
37,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.110,51.599,101.741,ok
38,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.118,51.517,101.667,ok
39,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.158,51.479,101.671,ok
40,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.113,51.461,101.612,ok
41,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.135,51.506,101.672,ok
42,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.124,51.565,101.715,ok
43,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.109,51.576,101.715,ok
44,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.173,52.464,102.674,ok
45,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.118,51.511,101.666,ok
46,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.139,51.845,102.019,ok
47,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.138,51.617,101.792,ok
48,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.230,51.928,102.191,ok
49,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.112,51.508,101.654,ok
50,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.198,51.661,101.894,ok
51,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.130,51.939,102.106,ok
52,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.117,51.634,101.788,ok
53,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.145,54.607,104.811,ok
54,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.704,53.022,103.913,ok
55,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.272,51.690,102.037,ok
56,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.137,51.553,101.727,ok
57,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.120,51.835,101.982,ok
58,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.221,51.998,102.252,ok
59,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.194,51.579,101.814,ok
60,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.189,51.981,102.210,ok
61,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.205,51.625,101.871,ok
62,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.127,51.974,102.140,ok
63,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.123,51.635,101.789,ok
64,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.145,51.507,101.693,ok
65,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.175,51.677,101.887,ok
66,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.117,52.260,102.409,ok
67,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.181,51.560,101.772,ok
68,X25519MLKEM768,X25519MLKEM768,50ms-1pct-batch1,50.859,51.554,102.447,ok
