run,group,negotiated_group,condition,tcp_connect_ms,tls_handshake_ms,total_ms,status
1,X25519,x25519,50ms-1pct-batch5,50.167,51.629,101.829,ok
2,X25519,x25519,50ms-1pct-batch5,50.107,52.735,102.874,ok
3,X25519,x25519,50ms-1pct-batch5,50.162,52.439,102.634,ok
4,X25519,x25519,50ms-1pct-batch5,50.182,51.451,101.673,ok
5,X25519,x25519,50ms-1pct-batch5,50.517,51.511,102.071,ok
6,X25519,x25519,50ms-1pct-batch5,50.185,51.614,101.836,ok
7,X25519,x25519,50ms-1pct-batch5,50.195,51.389,101.616,ok
8,X25519,x25519,50ms-1pct-batch5,50.122,51.576,101.731,ok
9,X25519,x25519,50ms-1pct-batch5,50.145,51.434,101.614,ok
10,X25519,x25519,50ms-1pct-batch5,50.301,51.483,101.820,ok
11,X25519,x25519,50ms-1pct-batch5,50.293,51.430,101.758,ok
12,X25519,x25519,50ms-1pct-batch5,50.158,51.446,101.645,ok
13,X25519,x25519,50ms-1pct-batch5,50.228,52.109,102.381,ok
14,X25519,x25519,50ms-1pct-batch5,50.155,307.429,357.622,ok
15,X25519,x25519,50ms-1pct-batch5,50.208,51.956,102.198,ok
16,X25519,x25519,50ms-1pct-batch5,50.380,52.416,102.843,ok
17,X25519,x25519,50ms-1pct-batch5,50.156,51.518,101.719,ok
18,X25519,x25519,50ms-1pct-batch5,50.158,51.461,101.657,ok
19,X25519,x25519,50ms-1pct-batch5,50.287,51.495,101.816,ok
20,X25519,x25519,50ms-1pct-batch5,50.187,51.678,101.899,ok
21,X25519,x25519,50ms-1pct-batch5,50.173,51.298,101.513,ok
22,X25519,x25519,50ms-1pct-batch5,50.210,51.713,101.964,ok
23,X25519,x25519,50ms-1pct-batch5,50.280,51.434,101.757,ok
24,X25519,x25519,50ms-1pct-batch5,50.160,51.676,101.884,ok
25,X25519,x25519,50ms-1pct-batch5,50.124,51.432,101.612,ok
26,X25519,x25519,50ms-1pct-batch5,50.116,51.392,101.539,ok
27,X25519,x25519,50ms-1pct-batch5,50.152,51.538,101.723,ok
28,X25519,x25519,50ms-1pct-batch5,50.233,51.943,102.210,ok
29,X25519,x25519,50ms-1pct-batch5,50.140,52.051,102.221,ok
30,X25519,x25519,50ms-1pct-batch5,50.114,52.235,102.378,ok
31,X25519,x25519,50ms-1pct-batch5,50.137,51.692,101.858,ok
32,X25519,x25519,50ms-1pct-batch5,50.145,51.389,101.570,ok
33,X25519,x25519,50ms-1pct-batch5,50.205,51.640,101.884,ok
34,X25519,x25519,50ms-1pct-batch5,50.160,51.790,101.988,ok
35,X25519,x25519,50ms-1pct-batch5,50.185,51.772,101.998,ok
36,X25519,x25519,50ms-1pct-batch5,50.153,51.425,101.608,ok
37,X25519,x25519,50ms-1pct-batch5,50.137,51.451,101.622,ok
38,X25519,x25519,50ms-1pct-batch5,50.220,51.856,102.112,ok
39,X25519,x25519,50ms-1pct-batch5,50.146,51.984,102.163,ok
40,X25519,x25519,50ms-1pct-batch5,50.230,51.489,101.799,ok
41,X25519,x25519,50ms-1pct-batch5,50.237,51.936,102.249,ok
42,X25519,x25519,50ms-1pct-batch5,50.130,51.348,101.511,ok
43,X25519,x25519,50ms-1pct-batch5,50.154,51.413,101.600,ok
44,X25519,x25519,50ms-1pct-batch5,50.392,51.374,101.806,ok
45,X25519,x25519,50ms-1pct-batch5,50.145,51.562,101.740,ok
46,X25519,x25519,50ms-1pct-batch5,50.137,51.351,101.522,ok
47,X25519,x25519,50ms-1pct-batch5,50.170,51.362,101.568,ok
48,X25519,x25519,50ms-1pct-batch5,50.107,51.689,101.833,ok
49,X25519,x25519,50ms-1pct-batch5,50.318,51.442,101.803,ok
50,X25519,x25519,50ms-1pct-batch5,50.180,51.310,101.540,ok
51,X25519,x25519,50ms-1pct-batch5,50.169,51.474,101.676,ok
52,X25519,x25519,50ms-1pct-batch5,50.228,51.293,101.551,ok
53,X25519,x25519,50ms-1pct-batch5,50.212,51.409,101.656,ok
54,X25519,x25519,50ms-1pct-batch5,50.156,51.756,101.944,ok
55,X25519,x25519,50ms-1pct-batch5,50.109,51.505,101.642,ok
56,X25519,x25519,50ms-1pct-batch5,50.137,51.321,101.488,ok
57,X25519,x25519,50ms-1pct-batch5,50.144,51.542,101.731,ok
58,X25519,x25519,50ms-1pct-batch5,50.181,51.397,101.613,ok
59,X25519,x25519,50ms-1pct-batch5,50.138,51.452,101.627,ok
60,X25519,x25519,50ms-1pct-batch5,50.115,51.749,101.899,ok
61,X25519,x25519,50ms-1pct-batch5,50.155,51.275,101.463,ok
62,X25519,x25519,50ms-1pct-batch5,50.113,51.339,101.486,ok
63,X25519,x25519,50ms-1pct-batch5,50.163,51.598,101.792,ok
64,X25519,x25519,50ms-1pct-batch5,50.131,51.353,101.517,ok
65,X25519,x25519,50ms-1pct-batch5,50.165,51.568,101.778,ok
66,X25519,x25519,50ms-1pct-batch5,50.127,51.317,101.476,ok
67,X25519,x25519,50ms-1pct-batch5,50.186,51.519,101.744,ok
68,X25519,x25519,50ms-1pct-batch5,50.182,51.550,101.764,ok
69,X25519,x25519,50ms-1pct-batch5,50.124,51.594,101.753,ok
70,X25519,x25519,50ms-1pct-batch5,50.137,51.551,101.719,ok
71,X25519,x25519,50ms-1pct-batch5,50.143,51.293,101.470,ok
72,X25519,x25519,50ms-1pct-batch5,50.118,51.316,101.463,ok
73,X25519,x25519,50ms-1pct-batch5,50.249,51.521,101.800,ok
74,X25519,x25519,50ms-1pct-batch5,50.246,51.416,101.701,ok
75,X25519,x25519,50ms-1pct-batch5,50.324,51.651,102.006,ok
76,X25519,x25519,50ms-1pct-batch5,50.109,51.511,101.651,ok
77,X25519,x25519,50ms-1pct-batch5,60.391,51.444,111.870,ok
78,X25519,x25519,50ms-1pct-batch5,50.205,73.113,123.350,ok
79,X25519,x25519,50ms-1pct-batch5,50.140,51.901,102.077,ok
80,X25519,x25519,50ms-1pct-batch5,1053.863,51.406,1105.310,ok
81,X25519,x25519,50ms-1pct-batch5,50.152,51.328,101.514,ok
82,X25519,x25519,50ms-1pct-batch5,50.124,51.260,101.416,ok
83,X25519,x25519,50ms-1pct-batch5,50.208,51.349,101.596,ok
84,X25519,x25519,50ms-1pct-batch5,50.190,51.449,101.670,ok
85,X25519,x25519,50ms-1pct-batch5,50.326,51.523,101.928,ok
86,X25519,x25519,50ms-1pct-batch5,50.156,51.399,101.599,ok
87,X25519,x25519,50ms-1pct-batch5,50.134,51.347,101.514,ok
88,X25519,x25519,50ms-1pct-batch5,50.116,51.507,101.655,ok
89,X25519,x25519,50ms-1pct-batch5,50.134,51.660,101.827,ok
90,X25519,x25519,50ms-1pct-batch5,50.153,51.496,101.682,ok
91,X25519,x25519,50ms-1pct-batch5,50.110,51.821,101.971,ok
92,X25519,x25519,50ms-1pct-batch5,50.194,51.814,102.043,ok
93,X25519,x25519,50ms-1pct-batch5,50.205,52.807,103.085,ok
94,X25519,x25519,50ms-1pct-batch5,50.320,51.362,101.727,ok
95,X25519,x25519,50ms-1pct-batch5,50.212,51.455,101.702,ok
96,X25519,x25519,50ms-1pct-batch5,50.146,51.632,101.810,ok
97,X25519,x25519,50ms-1pct-batch5,50.213,51.235,101.476,ok
98,X25519,x25519,50ms-1pct-batch5,50.172,52.459,102.672,ok
99,X25519,x25519,50ms-1pct-batch5,50.236,51.437,101.701,ok
100,X25519,x25519,50ms-1pct-batch5,50.177,51.465,101.672,ok
