run,group,negotiated_group,condition,tcp_connect_ms,tls_handshake_ms,total_ms,status
1,X25519,x25519,50ms-1pct,50.154,51.783,101.975,ok
2,X25519,x25519,50ms-1pct,50.376,51.435,101.843,ok
3,X25519,x25519,50ms-1pct,50.278,51.423,101.734,ok
4,X25519,x25519,50ms-1pct,50.124,51.505,101.663,ok
5,X25519,x25519,50ms-1pct,50.129,51.901,102.063,ok
6,X25519,x25519,50ms-1pct,50.152,51.446,101.638,ok
7,X25519,x25519,50ms-1pct,50.301,51.332,101.666,ok
8,X25519,x25519,50ms-1pct,50.111,51.330,101.474,ok
9,X25519,x25519,50ms-1pct,50.122,51.768,101.922,ok
10,X25519,x25519,50ms-1pct,50.193,51.523,101.775,ok
11,X25519,x25519,50ms-1pct,50.292,51.456,101.783,ok
12,X25519,x25519,50ms-1pct,50.176,51.492,101.700,ok
13,X25519,x25519,50ms-1pct,50.164,51.684,101.878,ok
14,X25519,x25519,50ms-1pct,50.147,51.411,101.602,ok
15,X25519,x25519,50ms-1pct,50.169,51.534,101.751,ok
16,X25519,x25519,50ms-1pct,50.191,51.437,101.658,ok
17,X25519,x25519,50ms-1pct,50.263,51.573,101.876,ok
18,X25519,x25519,50ms-1pct,50.541,51.567,102.138,ok
19,X25519,x25519,50ms-1pct,50.137,51.310,101.488,ok
20,X25519,x25519,50ms-1pct,50.258,51.573,101.940,ok
21,X25519,x25519,50ms-1pct,50.186,51.359,101.588,ok
22,X25519,x25519,50ms-1pct,50.204,52.053,102.293,ok
23,X25519,x25519,50ms-1pct,50.207,51.517,101.757,ok
24,X25519,x25519,50ms-1pct,50.173,52.021,102.228,ok
25,X25519,x25519,50ms-1pct,50.125,51.379,101.534,ok
26,X25519,x25519,50ms-1pct,50.190,51.577,101.806,ok
27,X25519,x25519,50ms-1pct,50.187,51.403,101.629,ok
28,X25519,x25519,50ms-1pct,50.258,51.761,102.050,ok
29,X25519,x25519,50ms-1pct,50.222,51.397,101.664,ok
30,X25519,x25519,50ms-1pct,50.236,51.412,101.680,ok
31,X25519,x25519,50ms-1pct,50.189,51.434,101.660,ok
32,X25519,x25519,50ms-1pct,50.123,51.344,101.502,ok
33,X25519,x25519,50ms-1pct,50.209,51.728,101.998,ok
34,X25519,x25519,50ms-1pct,1058.649,51.389,1110.079,ok
35,X25519,x25519,50ms-1pct,50.167,51.562,101.783,ok
36,X25519,x25519,50ms-1pct,50.317,52.278,102.630,ok
37,X25519,x25519,50ms-1pct,50.100,51.383,101.515,ok
38,X25519,x25519,50ms-1pct,50.222,51.431,101.685,ok
39,X25519,x25519,50ms-1pct,50.128,51.547,101.714,ok
