run,group,negotiated_group,condition,tcp_connect_ms,tls_handshake_ms,total_ms,status
1,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.238,51.793,102.068,ok
2,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.920,51.697,102.651,ok
3,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.190,51.827,102.053,ok
4,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.626,51.782,102.455,ok
5,X25519MLKEM768,X25519MLKEM768,50ms-1pct,1051.716,51.863,1103.614,ok
6,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.318,52.198,102.551,ok
7,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.133,51.695,101.868,ok
8,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.235,51.560,101.830,ok
9,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.378,51.532,101.946,ok
10,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.174,51.626,101.844,ok
11,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.178,51.713,101.925,ok
12,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.163,51.521,101.719,ok
13,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.228,52.540,102.802,ok
14,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.148,52.354,102.537,ok
15,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.221,51.800,102.089,ok
16,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.184,51.848,102.072,ok
17,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.142,51.548,101.725,ok
18,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.221,51.720,101.979,ok
19,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.201,52.785,103.023,ok
20,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.146,51.596,101.773,ok
21,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.196,51.568,101.804,ok
22,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.122,51.536,101.705,ok
23,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.097,51.486,101.614,ok
24,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.129,51.740,101.898,ok
25,X25519MLKEM768,X25519MLKEM768,50ms-1pct,1065.008,51.824,1116.884,ok
26,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.152,51.614,101.802,ok
27,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.120,51.638,101.791,ok
28,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.258,51.979,102.271,ok
29,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.526,51.756,102.315,ok
30,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.427,53.388,103.897,ok
31,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.221,51.864,102.124,ok
32,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.490,54.052,104.726,ok
33,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.319,52.546,102.926,ok
34,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.276,51.857,102.191,ok
35,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.145,53.545,103.722,ok
36,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.503,51.745,102.357,ok
37,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.136,51.731,101.902,ok
38,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.172,52.670,102.875,ok
39,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.249,51.500,101.784,ok
40,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.172,51.571,101.777,ok
41,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.156,51.598,101.789,ok
42,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.149,51.597,101.788,ok
43,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.113,51.556,101.703,ok
44,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.116,51.572,101.723,ok
45,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.178,51.732,101.946,ok
46,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.201,51.532,101.765,ok
47,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.140,51.637,101.830,ok
48,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.176,51.498,101.716,ok
49,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.117,51.545,101.697,ok
50,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.087,51.771,101.892,ok
51,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.154,51.569,101.770,ok
52,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.170,51.636,101.863,ok
53,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.097,51.554,101.689,ok
54,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.190,51.860,102.094,ok
55,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.222,51.803,102.062,ok
56,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.390,52.561,103.122,ok
57,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.289,51.944,102.301,ok
58,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.223,51.747,102.016,ok
59,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.222,51.616,101.876,ok
60,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.294,51.855,102.185,ok
61,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.124,51.479,101.637,ok
62,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.106,51.559,101.700,ok
63,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.203,51.913,102.149,ok
64,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.179,208.966,259.179,ok
65,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.274,51.827,102.142,ok
66,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.183,52.464,102.848,ok
67,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.229,51.711,101.987,ok
68,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.156,51.763,101.952,ok
69,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.151,51.602,101.796,ok
70,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.089,51.554,101.685,ok
71,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.147,51.581,101.767,ok
72,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.172,71.861,122.074,ok
73,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.125,51.566,101.725,ok
74,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.169,51.588,101.817,ok
75,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.116,51.717,101.870,ok
76,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.225,51.679,101.942,ok
77,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.128,51.574,101.737,ok
78,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.155,51.664,101.852,ok
79,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.174,51.668,101.876,ok
80,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.138,51.470,101.639,ok
81,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.106,51.562,101.703,ok
82,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.215,51.599,101.849,ok
83,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.113,51.485,101.628,ok
84,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.197,51.575,101.806,ok
85,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.153,51.488,101.670,ok
86,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.093,51.490,101.621,ok
87,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.132,51.841,102.003,ok
88,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.155,51.916,102.111,ok
89,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.137,51.546,101.712,ok
90,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.207,304.414,354.653,ok
91,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.209,51.552,101.808,ok
92,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.140,51.866,102.047,ok
93,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.191,51.654,101.902,ok
94,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.125,51.670,101.829,ok
95,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.145,51.506,101.684,ok
96,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.159,51.537,101.729,ok
97,X25519MLKEM768,X25519MLKEM768,50ms-1pct,1054.219,51.850,1106.099,ok
98,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.110,51.658,101.801,ok
99,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.132,51.534,101.696,ok
100,X25519MLKEM768,X25519MLKEM768,50ms-1pct,50.150,51.518,101.702,ok
