run,group,negotiated_group,condition,tcp_connect_ms,tls_handshake_ms,total_ms,status
1,X25519,x25519,50ms,50.299,51.386,101.721,ok
2,X25519,x25519,50ms,50.272,51.350,101.657,ok
3,X25519,x25519,50ms,50.157,51.534,101.726,ok
4,X25519,x25519,50ms,50.172,51.357,101.565,ok
5,X25519,x25519,50ms,50.290,51.489,101.829,ok
6,X25519,x25519,50ms,50.111,51.504,101.649,ok
7,X25519,x25519,50ms,50.235,51.597,101.868,ok
8,X25519,x25519,50ms,50.406,51.947,102.386,ok
9,X25519,x25519,50ms,50.194,51.447,101.682,ok
10,X25519,x25519,50ms,50.165,51.353,101.554,ok
11,X25519,x25519,50ms,50.123,51.454,101.611,ok
12,X25519,x25519,50ms,50.191,51.483,101.714,ok
13,X25519,x25519,50ms,50.251,51.694,101.984,ok
14,X25519,x25519,50ms,50.193,52.004,102.234,ok
15,X25519,x25519,50ms,50.243,52.396,102.675,ok
16,X25519,x25519,50ms,50.299,51.477,101.813,ok
17,X25519,x25519,50ms,50.152,51.428,101.635,ok
18,X25519,x25519,50ms,50.426,51.820,102.298,ok
19,X25519,x25519,50ms,50.173,51.375,101.590,ok
20,X25519,x25519,50ms,50.132,51.417,101.580,ok
21,X25519,x25519,50ms,50.249,51.759,102.041,ok
22,X25519,x25519,50ms,50.233,51.418,101.687,ok
23,X25519,x25519,50ms,50.124,51.364,101.524,ok
24,X25519,x25519,50ms,50.145,51.420,101.597,ok
25,X25519,x25519,50ms,50.202,51.520,101.771,ok
26,X25519,x25519,50ms,50.312,51.367,101.716,ok
27,X25519,x25519,50ms,50.111,51.400,101.544,ok
28,X25519,x25519,50ms,50.118,51.861,102.014,ok
29,X25519,x25519,50ms,50.251,51.329,101.613,ok
30,X25519,x25519,50ms,50.262,51.401,101.699,ok
31,X25519,x25519,50ms,50.166,51.373,101.578,ok
32,X25519,x25519,50ms,50.241,51.382,101.672,ok
33,X25519,x25519,50ms,50.165,51.577,101.830,ok
34,X25519,x25519,50ms,50.115,51.401,101.549,ok
35,X25519,x25519,50ms,50.113,51.343,101.492,ok
36,X25519,x25519,50ms,50.119,51.507,101.661,ok
37,X25519,x25519,50ms,50.181,51.463,101.681,ok
38,X25519,x25519,50ms,50.091,51.444,101.570,ok
39,X25519,x25519,50ms,50.276,52.539,102.848,ok
40,X25519,x25519,50ms,50.289,51.511,101.841,ok
41,X25519,x25519,50ms,50.329,52.020,102.383,ok
42,X25519,x25519,50ms,50.469,52.267,102.789,ok
43,X25519,x25519,50ms,50.642,51.703,102.407,ok
44,X25519,x25519,50ms,50.297,52.561,102.915,ok
45,X25519,x25519,50ms,51.037,52.098,103.172,ok
46,X25519,x25519,50ms,50.326,52.259,102.621,ok
47,X25519,x25519,50ms,50.236,51.855,102.133,ok
48,X25519,x25519,50ms,50.200,51.484,101.724,ok
49,X25519,x25519,50ms,50.154,51.307,101.498,ok
50,X25519,x25519,50ms,50.162,51.349,101.545,ok
51,X25519,x25519,50ms,50.193,51.712,101.939,ok
52,X25519,x25519,50ms,50.225,51.578,101.839,ok
53,X25519,x25519,50ms,50.211,51.392,101.663,ok
54,X25519,x25519,50ms,50.407,52.592,103.035,ok
55,X25519,x25519,50ms,50.232,51.526,101.792,ok
56,X25519,x25519,50ms,50.230,51.278,101.539,ok
57,X25519,x25519,50ms,50.208,51.425,101.664,ok
58,X25519,x25519,50ms,50.187,51.358,101.582,ok
59,X25519,x25519,50ms,50.122,51.792,101.944,ok
60,X25519,x25519,50ms,50.201,51.819,102.063,ok
61,X25519,x25519,50ms,50.256,51.562,101.856,ok
62,X25519,x25519,50ms,50.728,51.897,102.660,ok
63,X25519,x25519,50ms,50.334,51.412,101.782,ok
64,X25519,x25519,50ms,50.132,51.412,101.575,ok
65,X25519,x25519,50ms,50.172,51.513,101.722,ok
66,X25519,x25519,50ms,50.452,51.419,101.909,ok
67,X25519,x25519,50ms,50.184,51.622,101.848,ok
68,X25519,x25519,50ms,50.334,51.534,101.901,ok
69,X25519,x25519,50ms,50.167,51.659,101.866,ok
70,X25519,x25519,50ms,50.271,51.458,101.766,ok
71,X25519,x25519,50ms,50.138,51.504,101.675,ok
72,X25519,x25519,50ms,50.110,51.511,101.653,ok
73,X25519,x25519,50ms,50.166,51.787,101.990,ok
74,X25519,x25519,50ms,50.217,51.433,101.690,ok
75,X25519,x25519,50ms,50.162,51.388,101.584,ok
76,X25519,x25519,50ms,50.110,51.351,101.494,ok
77,X25519,x25519,50ms,50.181,51.383,101.602,ok
78,X25519,x25519,50ms,50.282,51.513,101.836,ok
79,X25519,x25519,50ms,50.343,51.610,101.986,ok
80,X25519,x25519,50ms,50.132,51.473,101.639,ok
81,X25519,x25519,50ms,50.101,51.546,101.679,ok
82,X25519,x25519,50ms,50.224,51.411,101.669,ok
83,X25519,x25519,50ms,50.155,51.714,101.902,ok
84,X25519,x25519,50ms,50.114,51.273,101.420,ok
85,X25519,x25519,50ms,50.140,51.468,101.653,ok
86,X25519,x25519,50ms,50.142,51.373,101.556,ok
87,X25519,x25519,50ms,50.144,51.342,101.519,ok
88,X25519,x25519,50ms,50.215,51.312,101.561,ok
89,X25519,x25519,50ms,50.141,51.451,101.625,ok
90,X25519,x25519,50ms,50.114,51.423,101.569,ok
91,X25519,x25519,50ms,50.167,51.563,101.765,ok
92,X25519,x25519,50ms,50.218,51.599,101.850,ok
93,X25519,x25519,50ms,50.146,51.731,101.910,ok
94,X25519,x25519,50ms,50.182,51.474,101.691,ok
95,X25519,x25519,50ms,50.125,51.330,101.490,ok
96,X25519,x25519,50ms,50.124,51.290,101.444,ok
97,X25519,x25519,50ms,50.115,51.354,101.498,ok
98,X25519,x25519,50ms,50.131,51.289,101.454,ok
99,X25519,x25519,50ms,50.129,51.473,101.637,ok
100,X25519,x25519,50ms,50.134,51.179,101.342,ok
