run,group,negotiated_group,condition,tcp_connect_ms,tls_handshake_ms,total_ms,status
1,X25519MLKEM768,X25519MLKEM768,50ms,50.295,51.583,101.913,ok
2,X25519MLKEM768,X25519MLKEM768,50ms,50.131,51.730,101.894,ok
3,X25519MLKEM768,X25519MLKEM768,50ms,50.215,51.554,101.801,ok
4,X25519MLKEM768,X25519MLKEM768,50ms,50.385,51.515,101.932,ok
5,X25519MLKEM768,X25519MLKEM768,50ms,50.447,51.622,102.100,ok
6,X25519MLKEM768,X25519MLKEM768,50ms,50.173,51.926,102.129,ok
7,X25519MLKEM768,X25519MLKEM768,50ms,50.360,52.420,102.815,ok
8,X25519MLKEM768,X25519MLKEM768,50ms,50.295,53.092,103.469,ok
9,X25519MLKEM768,X25519MLKEM768,50ms,50.522,51.979,102.549,ok
10,X25519MLKEM768,X25519MLKEM768,50ms,50.229,52.075,102.357,ok
11,X25519MLKEM768,X25519MLKEM768,50ms,50.365,54.613,105.024,ok
12,X25519MLKEM768,X25519MLKEM768,50ms,50.250,52.081,102.422,ok
13,X25519MLKEM768,X25519MLKEM768,50ms,50.216,53.373,103.693,ok
14,X25519MLKEM768,X25519MLKEM768,50ms,50.388,52.399,102.837,ok
15,X25519MLKEM768,X25519MLKEM768,50ms,50.545,51.749,102.336,ok
16,X25519MLKEM768,X25519MLKEM768,50ms,50.228,51.844,102.105,ok
17,X25519MLKEM768,X25519MLKEM768,50ms,50.131,54.127,104.296,ok
18,X25519MLKEM768,X25519MLKEM768,50ms,50.268,52.065,102.385,ok
19,X25519MLKEM768,X25519MLKEM768,50ms,50.820,52.255,103.573,ok
20,X25519MLKEM768,X25519MLKEM768,50ms,50.423,51.915,102.524,ok
21,X25519MLKEM768,X25519MLKEM768,50ms,50.776,51.687,102.522,ok
22,X25519MLKEM768,X25519MLKEM768,50ms,50.357,51.633,102.030,ok
23,X25519MLKEM768,X25519MLKEM768,50ms,50.126,52.455,102.611,ok
24,X25519MLKEM768,X25519MLKEM768,50ms,50.163,51.634,101.837,ok
25,X25519MLKEM768,X25519MLKEM768,50ms,50.209,51.547,101.790,ok
26,X25519MLKEM768,X25519MLKEM768,50ms,50.143,51.690,101.865,ok
27,X25519MLKEM768,X25519MLKEM768,50ms,50.154,51.794,101.983,ok
28,X25519MLKEM768,X25519MLKEM768,50ms,50.127,51.830,101.990,ok
29,X25519MLKEM768,X25519MLKEM768,50ms,50.144,52.951,103.130,ok
