run,group,negotiated_group,condition,tcp_connect_ms,tls_handshake_ms,total_ms,status
1,X25519,x25519,baseline,0.047,1.045,1.105,ok
2,X25519,x25519,baseline,0.077,1.129,1.227,ok
3,X25519,x25519,baseline,0.432,1.037,1.480,ok
4,X25519,x25519,baseline,0.302,1.070,1.382,ok
5,X25519,x25519,baseline,0.085,1.153,1.248,ok
6,X25519,x25519,baseline,0.057,1.112,1.181,ok
7,X25519,x25519,baseline,0.094,1.500,1.605,ok
8,X25519,x25519,baseline,0.087,1.312,1.414,ok
9,X25519,x25519,baseline,0.053,1.104,1.184,ok
10,X25519,x25519,baseline,0.351,1.054,1.416,ok
11,X25519,x25519,baseline,0.088,1.160,1.256,ok
12,X25519,x25519,baseline,0.072,1.118,1.200,ok
13,X25519,x25519,baseline,0.039,1.091,1.139,ok
14,X25519,x25519,baseline,0.039,1.084,1.131,ok
15,X25519,x25519,baseline,0.045,1.016,1.069,ok
16,X25519,x25519,baseline,0.074,0.998,1.081,ok
17,X25519,x25519,baseline,0.026,1.219,1.252,ok
18,X25519,x25519,baseline,0.065,2.039,2.118,ok
19,X25519,x25519,baseline,0.077,1.142,1.292,ok
20,X25519,x25519,baseline,0.042,1.024,1.075,ok
21,X25519,x25519,baseline,0.035,1.000,1.043,ok
22,X25519,x25519,baseline,0.041,1.032,1.086,ok
23,X25519,x25519,baseline,0.041,1.047,1.099,ok
24,X25519,x25519,baseline,0.040,1.022,1.071,ok
25,X25519,x25519,baseline,0.040,1.013,1.062,ok
26,X25519,x25519,baseline,0.043,1.165,1.220,ok
27,X25519,x25519,baseline,0.041,1.068,1.120,ok
28,X25519,x25519,baseline,0.058,1.134,1.206,ok
29,X25519,x25519,baseline,0.041,1.291,1.342,ok
30,X25519,x25519,baseline,0.063,1.326,1.402,ok
31,X25519,x25519,baseline,0.049,1.071,1.131,ok
32,X25519,x25519,baseline,0.039,1.049,1.100,ok
33,X25519,x25519,baseline,0.038,1.013,1.059,ok
34,X25519,x25519,baseline,0.039,1.070,1.119,ok
35,X25519,x25519,baseline,0.038,1.053,1.101,ok
36,X25519,x25519,baseline,0.040,1.053,1.105,ok
37,X25519,x25519,baseline,0.071,1.055,1.138,ok
38,X25519,x25519,baseline,0.040,1.019,1.066,ok
39,X25519,x25519,baseline,0.038,1.057,1.104,ok
40,X25519,x25519,baseline,0.038,0.990,1.036,ok
41,X25519,x25519,baseline,0.075,1.067,1.151,ok
42,X25519,x25519,baseline,0.067,1.207,1.287,ok
43,X25519,x25519,baseline,0.057,1.087,1.157,ok
44,X25519,x25519,baseline,0.049,1.038,1.099,ok
45,X25519,x25519,baseline,0.030,1.027,1.069,ok
46,X25519,x25519,baseline,0.036,0.992,1.036,ok
47,X25519,x25519,baseline,0.042,1.030,1.082,ok
48,X25519,x25519,baseline,0.039,1.013,1.061,ok
49,X25519,x25519,baseline,0.037,1.035,1.080,ok
50,X25519,x25519,baseline,0.038,1.263,1.309,ok
51,X25519,x25519,baseline,0.043,1.035,1.087,ok
52,X25519,x25519,baseline,0.039,1.041,1.091,ok
53,X25519,x25519,baseline,0.039,1.104,1.151,ok
54,X25519,x25519,baseline,0.129,1.265,1.408,ok
55,X25519,x25519,baseline,0.054,1.082,1.148,ok
56,X25519,x25519,baseline,0.040,1.177,1.225,ok
57,X25519,x25519,baseline,0.041,1.005,1.064,ok
58,X25519,x25519,baseline,0.038,1.107,1.156,ok
