run,group,negotiated_group,condition,tcp_connect_ms,tls_handshake_ms,total_ms,status
1,X25519MLKEM768,X25519MLKEM768,baseline,0.238,1.778,2.064,ok
2,X25519MLKEM768,X25519MLKEM768,baseline,0.099,1.445,1.560,ok
3,X25519MLKEM768,X25519MLKEM768,baseline,0.044,1.596,1.649,ok
4,X25519MLKEM768,X25519MLKEM768,baseline,0.082,1.263,1.357,ok
5,X25519MLKEM768,X25519MLKEM768,baseline,0.046,1.207,1.265,ok
6,X25519MLKEM768,X25519MLKEM768,baseline,0.042,1.148,1.199,ok
7,X25519MLKEM768,X25519MLKEM768,baseline,0.046,1.208,1.264,ok
8,X25519MLKEM768,X25519MLKEM768,baseline,0.133,1.148,1.291,ok
9,X25519MLKEM768,X25519MLKEM768,baseline,0.173,1.280,1.465,ok
10,X25519MLKEM768,X25519MLKEM768,baseline,0.724,1.721,2.514,ok
11,X25519MLKEM768,X25519MLKEM768,baseline,0.082,1.494,1.600,ok
12,X25519MLKEM768,X25519MLKEM768,baseline,0.135,1.336,1.493,ok
13,X25519MLKEM768,X25519MLKEM768,baseline,0.049,1.171,1.232,ok
14,X25519MLKEM768,X25519MLKEM768,baseline,0.042,1.166,1.217,ok
15,X25519MLKEM768,X25519MLKEM768,baseline,0.040,1.116,1.164,ok
16,X25519MLKEM768,X25519MLKEM768,baseline,0.045,1.144,1.202,ok
17,X25519MLKEM768,X25519MLKEM768,baseline,0.044,1.246,1.301,ok
18,X25519MLKEM768,X25519MLKEM768,baseline,0.046,1.334,1.392,ok
19,X25519MLKEM768,X25519MLKEM768,baseline,0.187,1.811,2.025,ok
20,X25519MLKEM768,X25519MLKEM768,baseline,0.073,1.304,1.397,ok
21,X25519MLKEM768,X25519MLKEM768,baseline,0.089,1.158,1.258,ok
22,X25519MLKEM768,X25519MLKEM768,baseline,0.043,1.168,1.223,ok
23,X25519MLKEM768,X25519MLKEM768,baseline,0.042,1.212,1.267,ok
24,X25519MLKEM768,X25519MLKEM768,baseline,0.045,1.240,1.294,ok
25,X25519MLKEM768,X25519MLKEM768,baseline,0.079,1.210,1.300,ok
26,X25519MLKEM768,X25519MLKEM768,baseline,0.044,1.149,1.203,ok
27,X25519MLKEM768,X25519MLKEM768,baseline,0.042,1.218,1.269,ok
28,X25519MLKEM768,X25519MLKEM768,baseline,0.041,1.482,1.534,ok
29,X25519MLKEM768,X25519MLKEM768,baseline,0.052,1.442,1.506,ok
30,X25519MLKEM768,X25519MLKEM768,baseline,0.072,1.287,1.391,ok
31,X25519MLKEM768,X25519MLKEM768,baseline,0.048,1.155,1.215,ok
32,X25519MLKEM768,X25519MLKEM768,baseline,0.045,1.205,1.261,ok
33,X25519MLKEM768,X25519MLKEM768,baseline,0.044,1.141,1.194,ok
34,X25519MLKEM768,X25519MLKEM768,baseline,0.043,1.278,1.332,ok
35,X25519MLKEM768,X25519MLKEM768,baseline,0.057,1.151,1.219,ok
36,X25519MLKEM768,X25519MLKEM768,baseline,0.044,1.108,1.161,ok
37,X25519MLKEM768,X25519MLKEM768,baseline,0.045,1.147,1.205,ok
38,X25519MLKEM768,X25519MLKEM768,baseline,0.048,1.140,1.199,ok
39,X25519MLKEM768,X25519MLKEM768,baseline,0.042,1.378,1.428,ok
40,X25519MLKEM768,X25519MLKEM768,baseline,0.142,1.415,1.585,ok
41,X25519MLKEM768,X25519MLKEM768,baseline,0.057,1.254,1.327,ok
42,X25519MLKEM768,X25519MLKEM768,baseline,0.044,1.234,1.290,ok
43,X25519MLKEM768,X25519MLKEM768,baseline,0.045,1.143,1.196,ok
44,X25519MLKEM768,X25519MLKEM768,baseline,0.042,1.209,1.260,ok
45,X25519MLKEM768,X25519MLKEM768,baseline,0.042,1.167,1.217,ok
46,X25519MLKEM768,X25519MLKEM768,baseline,0.084,1.159,1.256,ok
47,X25519MLKEM768,X25519MLKEM768,baseline,0.044,1.199,1.254,ok
48,X25519MLKEM768,X25519MLKEM768,baseline,0.043,1.215,1.269,ok
49,X25519MLKEM768,X25519MLKEM768,baseline,0.043,1.359,1.413,ok
50,X25519MLKEM768,X25519MLKEM768,baseline,0.101,1.379,1.493,ok
51,X25519MLKEM768,X25519MLKEM768,baseline,0.053,1.297,1.363,ok
52,X25519MLKEM768,X25519MLKEM768,baseline,0.045,1.147,1.200,ok
53,X25519MLKEM768,X25519MLKEM768,baseline,0.042,1.209,1.259,ok
54,X25519MLKEM768,X25519MLKEM768,baseline,0.043,1.178,1.231,ok
55,X25519MLKEM768,X25519MLKEM768,baseline,0.040,1.122,1.171,ok
56,X25519MLKEM768,X25519MLKEM768,baseline,0.038,1.116,1.162,ok
57,X25519MLKEM768,X25519MLKEM768,baseline,0.038,1.194,1.240,ok
58,X25519MLKEM768,X25519MLKEM768,baseline,0.046,1.197,1.251,ok
59,X25519MLKEM768,X25519MLKEM768,baseline,0.044,1.195,1.248,ok
60,X25519MLKEM768,X25519MLKEM768,baseline,0.046,1.793,1.848,ok
61,X25519MLKEM768,X25519MLKEM768,baseline,0.075,1.355,1.445,ok
62,X25519MLKEM768,X25519MLKEM768,baseline,0.054,1.162,1.226,ok
63,X25519MLKEM768,X25519MLKEM768,baseline,0.043,1.124,1.175,ok
64,X25519MLKEM768,X25519MLKEM768,baseline,0.087,1.320,1.424,ok
65,X25519MLKEM768,X25519MLKEM768,baseline,0.047,1.153,1.209,ok
66,X25519MLKEM768,X25519MLKEM768,baseline,0.040,1.176,1.224,ok
67,X25519MLKEM768,X25519MLKEM768,baseline,0.041,1.193,1.242,ok
68,X25519MLKEM768,X25519MLKEM768,baseline,0.041,1.140,1.190,ok
69,X25519MLKEM768,X25519MLKEM768,baseline,0.040,1.138,1.187,ok
70,X25519MLKEM768,X25519MLKEM768,baseline,0.041,1.183,1.233,ok
71,X25519MLKEM768,X25519MLKEM768,baseline,0.053,1.377,1.443,ok
72,X25519MLKEM768,X25519MLKEM768,baseline,0.075,1.353,1.459,ok
73,X25519MLKEM768,X25519MLKEM768,baseline,0.049,1.145,1.204,ok
74,X25519MLKEM768,X25519MLKEM768,baseline,0.041,1.152,1.202,ok
75,X25519MLKEM768,X25519MLKEM768,baseline,0.041,1.211,1.263,ok
76,X25519MLKEM768,X25519MLKEM768,baseline,0.043,1.167,1.219,ok
